cookTime,datePublished,description,image,ingredients,name,prepTime,recipeYield,url
PT,2010-11-28,"Original post: January 2010    It's cold here, and it's about to get colder. Friday is supposed to be zero, which likely does...",http://static.thepioneerwoman.com/cooking/files/2010/11/4251045352_0704c9df5e_o.jpg,"4 cups Strongly Brewed Good Coffee
6 ounces, fluid Dulce De Leche (*see Note)
6 Tablespoons Kahlua, More If Preferred
1 cup Heavy Cream
2 Tablespoons Sugar
6 Tablespoons Chocolate, Grated",Dulce de Leche Coffee,PT10M,6,http://thepioneerwoman.com/cooking/2010/11/dulce-de-leche-coffee/
,2007-08-30,"Simple and delicious, vibrant green spinach and zucchini soup recipe. Light-and-healthy, but still creamy textured and plenty tasty.",http://www.101cookbooks.com/mt-static/images/food/zucchinisouprecipe_07.jpg,"3 tablespoons extra-virgin olive oil
2 cloves garlic, chopped
2 medium onions, roughly chopped
big pinch of salt
2 1/2 cups potatoes (2 medium)  cut into 1/2-inch cubes
2 1/2 cups zucchini (2 medium), loosely chopped
4 cups vegetable stock
4 cups fresh spinach leaves, loosely packed
1 cup cilantro, loosely chopped
one lemon",Spinach and Zucchini Soup Recipe,,Serves about 6.,http://www.101cookbooks.com/archives/spinach-and-zucchini-soup-recipe.html
,2008-08-24,"This zesty, cilantro-centric soba noodle bowl features a hefty dose of the green stuff, pan-toasted tofu, and plenty of vegetables. ",http://www.101cookbooks.com/mt-static/images/food/cilantro_noodles.jpg,"8 ounces dried soba noodles
2 - 3 cups baby Romanesco or broccoli florets
zest of one lemon
2 cups fresh cilantro, chopped
2 large cloves garlic
1/4 teaspoon cayenne powder
1/2 teaspoon fine grain sea salt
scant 1/2 cup extra-virgin olive oil
12 ounces extra-firm nigari tofu",Cilantro Noodle Bowl Recipe,,Serves about 4 - 6. ,http://www.101cookbooks.com/archives/cilantro-noodle-bowl-recipe.html
,2005-03-08,101 Cookbooks: Canneles de Bordeaux Recipe,http://www.101cookbooks.com/mt-static/images/food/canneles.jpg,"2 cups whole milk
9 ounces sugar
1 vanilla pod, split
2 ounces butter
6 ounces flour
2 egg yolks
3 teaspoon dark rum
Butter for the molds",Canneles de Bordeaux,,Makes 12 canneles.,http://www.101cookbooks.com/archives/000149.html
,2009-05-13,"The best pot of chili I've made in years. A vegetarian chili recipe Inspired by a bunch of those little bags of remnant grains and pulses that collect in my cupboards - bulgur, farro, and lentils, join chile peppers, crushed tomatoes, some chickpeas, and a secret ingredient.",http://www.101cookbooks.com/mt-static/images/food/vegetarian_chili_recipe.jpg,"2 tablespoons olive oil
1 large yellow onion, chopped
2 shallots, chopped
8 small/med garlic cloves, finely chopped
1 tablespoon ginger, peeled and grated
3 tablespoons chili powder
1 teaspoon ground cumin
1 serrano pepper, seeded and finely chopped
1 chipotle pepper (from can or rehydrate), minced
1 28-ounce can of crushed tomatoes
10  cups vegetable broth
1 1/2 cups cooked chickpeas (canned is fine)
2 1/4 cups black, brown, or green lentils (or combo), rinsed and picked over
2/3 cup pearled barley or pearled farro
2/3 cup bulgur wheat
1 teaspoon fine grain sea salt (or to taste)
toppings (opt): a bit of chopped serranos, a bit of feta or dollop of thinned out salted yogurt, a drizzle of equal parts chopped fresh oregano and olive oil, chopped onion",Pierce Street Vegetarian Chili Recipe,,,http://www.101cookbooks.com/archives/pierce-street-vegetarian-chili-recipe.html
,2009-05-10,"If you haven't tried grilled fava beans, you must! You can make them on the grill or in a grill pan. Toss them out onto a newspaper where people can dive in and make a bit of a mess with the pods and skins.",http://www.101cookbooks.com/mt-static/images/food/grilled_fava_beans.jpg,"1 pound of fresh fava beans, still in their pods
a couple glugs of olive oil
a few pinches of salt
optional: crushed red pepper flakes, lemon zest, and or chopped fresh herbs.",Grilled Fava Beans,,Serves 2 - 4,http://www.101cookbooks.com/archives/grilled-fava-beans-recipe.html
,2004-11-03,101 Cookbooks: Apple Butter with Carolina B. Recipe,http://www.101cookbooks.com/mt-static/images/food/applebutter1.jpg,"4 pounds of apples, peeled and cut into bite sized chunks (we used a mix of empire, gala, and Fuji apples - but any type of flavorful apple will do)
Roughly 1/2 gallon of apple cider
2 cups of sugar (use roughly 1/2 cup per pound of fruit)
1 1/2 t. cinnamon
1/2 t. cloves
Juice of one lemon",Apple Butter with Carolina B.,,,http://www.101cookbooks.com/archives/000125.html
,2008-10-26,"a pot of quick-cooking, beautiful, brothy couscous soup topped with a bit of melted goat cheese and bright broccoli and cauliflower florets. It is all punctuated with a spoonful of finely chopped sun-dried tomatoes.",http://www.101cookbooks.com/mt-static/images/food/couscous_soup_recipe.jpg,"7 cups great-tasting vegetable broth
2 or 3 pinches crushed red pepper flakes
3 tablespoons extra virgin olive oil
1 cup whole wheat, barley, or regular couscous
1 1/2 cups broccoli florets, cut into tiny pieces smaller than your thumb
1 1/2 cups cauliflower florets, cut into tiny pieces smaller than your thumb
4 oil-packed sun-dried tomatoes, chopped (opt)
4 green onions, trimmed and thinly sliced
an ounce or two of goat cheese",Ten Minute Couscous Soup Recipe,,Serves 4-6. ,http://www.101cookbooks.com/archives/ten-minute-couscous-soup-recipe.html
,2009-03-21,"Known in some circles as Japanese pizza, this is my take on okonomiyaki. Plenty of egg-battered cabbage is pressed into a skillet and cooked until deeply golden on both sides. It is served cut into wedges and sprinkled with toasted almonds and chives.",http://www.101cookbooks.com/mt-static/images/food/japanese_pizza_recipe.jpg,"2 cups cabbage, finely shredded
1 cup leeks, well washed and chopped (see head notes)
2/3 cup whole wheat pastry flour (or apf flour)
a couple pinches of fine grain sea salt
2 eggs, beaten
1+ tablespoon olive oil
Garnish: toasted slivered almonds, chives/ herbs",Okonomiyaki (Japanese Pizza) Recipe,,Serves 1 - 2.,http://www.101cookbooks.com/archives/japanese-pizza-recipe.html
,2005-01-17,101 Cookbooks: Full Moon Brownies Recipe,http://www.101cookbooks.com/mt-static/images/food/moonbrownies.jpg,"7 ounces Black Pearl bar (about 2 bars) or Black Pearl chips (1 3/4 bags)
1 stick unsalted butter {4 oz.}
3 tablespoons cocoa powder
3 large eggs
1 1/4 cup sugar
1 tablespoon vanilla extract
1 teaspoon salt
1 tablespoon fresh ginger, peeled and minced
3/4 cup mini marshmallows
1 cup all purpose flour",Full Moon Brownie Recipe,,,http://www.101cookbooks.com/archives/000137.html
PT,2009-02-20,"This is turning into a Real Time Cooking sort of post, as febrile children and burned croutons have slowed down my momentum t...",http://static.thepioneerwoman.com/cooking/files/2010/07/3294969125_73e4657472.jpg," FOR SALAD DRESSING:
2 cloves Fresh Garlic (peeled)
4 whole Anchovy Fillets
2 Tablespoons (up To 3 Tablespoons) Dijon Mustard
1 Tablespoon Balsamic (or Red Wine) Vinegar
1/2 whole Lemon, Juiced
1/2 cup Olive Oil
1 teaspoon Worcestershire Sauce
1 dash Salt
 Generous Black Pepper, to taste
1/4 cup Freshly Grated Parmesan Cheese
 _____
 FOR CROUTONS:
1/2 loaf Crusty French Bread
1/4 cup Olive Oil
2 cloves Fresh Garlic (peeled)
 Salt To Taste
 _____
 For Salad
 Dry Hearts Of Romaine Lettuce
 Fresh Parmesan Cheese",My Caesar Salad. Part 1.,PT1H30M,4,http://thepioneerwoman.com/cooking/2009/02/my-caesar-salad-part-1/
PT,2008-04-30,"Back on the golf course, I used to have a traditional back-to-school party for my friends and me every year. Because I appare...",http://static.thepioneerwoman.com/cooking/files/2008/04/Springy-Flower-Pot-Desserts.jpg,"1 whole Pound Cake
1 gallon Ice Cream
1 package Oreo Cookies
1 package Gummy Worms
 Other Things You'll Need:
 Small Clay Flower Pots, Lead-free
 Straws
 Fresh Cut Flowers",Springy Flower Pot Desserts: A Blast From My Past,PT30M,6,http://thepioneerwoman.com/cooking/2008/04/springy-flower-pot-desserts-a-blast-from-my-past/
PT,2007-06-02,"This isn't a meal, but it's yummy. Oh, I absolutely love Pico de Gallo---the freshness of tomatoes, the clean flavor of cilan...",http://static.thepioneerwoman.com/cooking/files/2010/07/460395800_7e2653ea4a2.jpg," FOR THE PICO DE GALLO:
5 whole Plum (roma) Tomatoes
1/2 whole Large (or 1 Small) Onion
3 whole Jalapeno Peppers
 Cilantro
 Lime Juice
 Salt To Taste
 _____
 FOR THE GUACAMOLE:
3 whole Avocados
 Pico De Gallo
 Lime Juice
 Salt To Taste",Pico de Gallo and Guacamole,PT30M,8,http://thepioneerwoman.com/cooking/2007/06/pico_de_gallo_a/
,2008-09-19,"A savory peach gnocchi in a champagne shallot sauce inspired by a trip to Valparaiso, Chile.",http://www.101cookbooks.com/mt-static/images/food/peach_gnocchi.jpg,"Scant 2 pounds of starchy potatoes (2 large russets, or 3-4 smaller ones)
1/4 cup egg, lightly beaten
4 peaches, extra ripe, cut in half, pitted and peeled and pureed with the juice of half a lemon (you should end up with about 1 cup of puree)
1/2 teaspoon fine grain sea salt
1 cup of whole wheat pastry flour OR unbleached all-purpose flour
1/2 cup shallots, minced
1 tablespoon unsalted butter
2 cups Champagne
cream
salt
a bit of fresh thyme",Peach Gnocchi Recipe,,Serves six to eight.,http://www.101cookbooks.com/archives/peach-gnocchi-recipe.html
,2006-10-03,"Couscous, apples, curry powder, butter, mint, toasted pine nuts and green onions are highlighted in this dynamic, colorful couscous recipe.",http://www.101cookbooks.com/mt-static/images/food/curriedcouscousrecipe.jpg,"4 tablespoons unsalted butter
1 tablespoon curry powder
1 medium apple, cored and chopped
3 green onions, washed, trimmed, and thinly sliced
1 cup whole wheat couscous (or regular)
1 3/4 cup water
1 teaspoon sea salt
1/2 cup pine nuts, toasted
Small handful of mint, chopped",Curried Apple Couscous Recipe,,Serves 6.,http://www.101cookbooks.com/archives/001509.html
PT,2008-04-30,"I'm just finishing up the photos for my next recipe, but since we're entering into flowery, lovely springtime, I wanted to br...",http://static.thepioneerwoman.com/cooking/files/2010/03/pots2.jpg,"1 whole Pound Cake
1 gallon Ice Cream
1 package Oreo Cookies
1 package Gummy Worms
 Other Things You'll Need:
 Small Clay Flower Pots, Lead-free
 Straws
 Fresh Cut Flowers",A Blast From the Past,PT30M,6,http://thepioneerwoman.com/cooking/2010/03/a-blast-from-the-past/
,2006-08-08,"A quartet of vibrant, colorful, and unique compound butter recipes - Smoked Paprika, Dry Desert Lime, Raw Serrano, and Dehydrated Strawberry.  ",http://www.101cookbooks.com/mt-static/images/food/compoundbutter.jpg,"4 tablespoons unsalted organic butter, room temperature
1 or 2 Numi Desert Lime tea bags (depending on how strong you want it), cut open and the contents ground in a mortar and pestle
1/4 teaspoon fine grain sea salt
4 tablespoons unsalted organic butter, room temperature
1 tablespoon organic cane sugar (I used Florida Crystals)
1/3 cup dehydrated organic strawberries, minced
4 tablespoons unsalted organic butter, room temperature
2 serrano chiles, deveined and  seeded, loosely chopped
1/4 teaspoon fine grain sea salt
4 tablespoons unsalted organic butter, room temperature
1 - 1 1/2 teaspoons smoked paprika
1/4 teaspoon fine grain sea salt",A Quartet of Compound Butters,,,http://www.101cookbooks.com/archives/001470.html
PT,2008-04-14,"Mmmm. Yum. Groooan. Yum again. Mmmm. Yum.    Okay, I had to get that out. Thank you for listening.    Oh, how I've fallen in ...",http://static.thepioneerwoman.com/cooking/files/2008/04/Goat-Cheese-with-Fresh-Dill-and-Paprika.jpg,"2 packages (11 Ounce) Fresh Goat Cheese
6 Tablespoons Fresh Dill (or More If Needed)
6 Tablespoons Paprika (or More If Needed)",Goat Cheese with Fresh Dill and Paprika,PT20M,12,http://thepioneerwoman.com/cooking/2008/04/goat-cheese-with-fresh-dill-and-paprika-my-heart-sings/
,2006-04-05,I'll never make lasagna any other way. Impossibly thin layers of feathery-light pasta with just enough sauce and cheese between each layer to keep it moist and flavorful.,http://www.101cookbooks.com/mt-static/images/food/bestlasagne.jpg,"1 pound fresh egg pasta sheets (or make some from scratch)
butter to prep baking dish
3 tablespoons extra-virgin olive oil
1 teaspoon fine grain sea salt
1 teaspoon crushed red pepper flakes
1 clove garlic, chopped
1 28-ounce can crushed organic tomatoes
zest of one lemon
3 4-ounce balls of fresh mozzarella, torn up into little pieces
a handful of slivered basil (optional)
freshly grated Parmesan (optional)",Thousand Layer Lasagne,,Serves many.,http://www.101cookbooks.com/archives/001386.html
,2009-06-15,"A pureed summer squash soup with a buttermilk twist. I used a hint of red pepper, a bit of rosemary for depth, some potato for body, garlic, shallots - and aside from the buttermilk, nothing too far beyond the usual suspects.",http://www.101cookbooks.com/mt-static/images/food/buttermilk_squash_soup.jpg,"a generous splash of olive oil or (3T.) knob of butter
3 large shallots, chopped
a couple pinches of fine-grain sea salt
pinch of crushed red pepper flakes
3-inch sprig of rosemary
1 1/2 pounds yellow or green summer squash, cut into 1/2-inch thick slices/chunks
3/4 pound potatoes, un-peeled, cut into 1/4-inch thick pieces
3 medium cloves garlic, chopped
3 cups lightly flavored vegetable stock or water
2/3 cup buttermilk
garnish with: fresh herbs, toasted almonds, a generous drizzle of olive oil/ melted butter, and/or some crumbled feta",Buttermilk Summer Squash Soup Recipe,,Serves  6 - 8.,http://www.101cookbooks.com/archives/buttermilk-summer-squash-soup-recipe.html
,2007-09-19,"Indonesian red rice salad with boiled eggs and macadamias. Riveting to look at, with a wonderfully complex array of flavors and textures to enjoy.
",http://www.101cookbooks.com/mt-static/images/food/redricesaladrecipe_07.jpg,"1 3/4 cups to 2 cups water
1 cup red rice
2 tablespoons oil 
4 large shallots, chopped
3 cloves garlic, chopped
1 large red chile, seeded and chopped
1-inch piece ginger root, chopped (hs note: I grated it)
1 teaspoon ground coriander
1 large carrot, thinly sliced
8 ounces green beans, trimmed and chopped
1/2 cup coconut milk (hs note: lite is fine)
1/4 cup soy sauce
1/2 teaspoon molasses
4 large eggs, boiled and peeled
1 large lime, quartered
1/2 cup julienned fresh basil
1/4 cup macadamia nuts, toasted and chopped",Red Rice Salad with Boiled Eggs and Macadamias,,Serves 8.,http://www.101cookbooks.com/archives/red-rice-salad-recipe.html
PT,2009-06-10,"    Okay, look. I don't say that very often.     I've said it about this Lasagna. And I mean it there. And I said it about my...",http://static.thepioneerwoman.com/cooking/files/2010/07/3611769621_e169fe9fbb.jpg,"3 whole Eggs
7 slices Thick Cut, Peppered Bacon
1 whole Red Onion, Small
1 package Mushrooms, White Button
8 ounces, weight Baby Spinach, Washed Dried And Stems Removed
3 Tablespoons Reserved Bacon Grease
3 Tablespoons Red Wine Vinegar
2 teaspoons Sugar
1/2 teaspoon Dijon Mustard
1 dash Salt",My Spinach Salad,PT30M,6,http://thepioneerwoman.com/cooking/2009/06/the-best-spinach-salad-ever/
